index,order,courier
0,111992.522,0.0
1,106498.7625,0.0
2,111364.70033333333,0.0
3,121800.97,0.0
4,124881.90179999999,0.0
5,120778.39633333334,0.0
6,124288.98728571429,0.0
7,125806.100375,0.0
8,129762.69888888889,0.0
9,131826.4134,0.0
10,133332.18736363636,0.0
11,126919.11325,0.0
12,126569.05384615385,0.0
13,124481.98842857144,0.0
14,123205.87353333333,0.0
15,121838.4214375,0.0
16,118807.89011764705,0.0
17,116724.6315,0.0
18,110702.56763157895,0.0
19,105981.96105,0.0
20,100935.201,700.8250952380952
21,97768.5140909091,668.969409090909
22,93702.9434347826,639.8837826086956
23,89798.654125,1686.3472083333334
24,86206.70796,3729.56032
25,82891.06534615385,6270.050384615384
26,79821.0258888889,6770.857407407408
27,76970.27496428571,7879.299035714285
28,74316.12755172414,8773.71872413793
29,71838.9233,12242.397433333334
30,69521.53867741936,13455.551
31,67348.99059375,14686.852156250001
32,65308.11209090909,15571.219303030302
33,63387.28526470588,19080.31305882353
34,61576.219971428574,20275.064514285714
35,59865.76941666667,21875.90763888889
36,58247.77564864865,23201.507216216218
37,56714.93944736842,26931.20747368421
38,55260.71023076923,29341.923256410257
39,53879.192475,32907.352825
40,52565.06582926829,35762.69307317073
41,51313.51664285715,37386.98452380952
42,50120.17904651163,40773.33293023256
43,48981.084068181815,43415.108863636364
44,47892.61553333334,47073.21931111111
45,46851.4717173913,49855.04845652174
46,45854.63189361702,52327.438617021275
47,44899.3270625,55321.9615625
48,43983.01426530612,58827.151918367344
49,43103.35398,62892.33544
50,42258.19017647059,66465.09382352942
51,41445.53267307692,69804.48413461538
52,40663.54149056604,73225.65930188679
53,39910.51294444445,76335.07924074074
54,39184.867254545454,79986.22734545455
55,38485.137482142854,83882.3240357143
56,37809.959631578946,88273.41950877193
57,37158.06377586207,91461.64301724138
58,36528.26608474577,95592.80893220339
59,35919.46165,100019.90086666666
60,35330.61801639344,104564.23536065574
61,34760.76933870968,108478.36714516129
62,34209.01109523809,112268.36031746032
63,33674.495296875,116877.687921875
64,33156.42613846154,121360.6841076923
65,32654.056045454545,124859.5915
66,32166.682074626868,129567.61310447761
67,31693.64263235294,133269.73838235295
68,31234.31447826087,137212.54120289854
69,30788.109985714287,140785.76271428572
70,30354.474633802816,144892.23247887325
71,29932.884708333335,149009.8284861111
72,29522.845191780823,153809.42284931507
73,29123.887824324323,157790.25431081082
74,28735.56932,162598.47281333333
75,28357.46972368421,166898.70801315788
76,27989.190896103897,171697.84303896103
77,27630.355115384617,175938.14946153847
78,27280.603784810126,179792.82888607596
79,26939.5962375,184551.2529625
80,26607.00862962963,188735.56125925927
81,26282.532914634146,192537.42193902438
82,25965.875891566266,197151.50191566267
83,25656.758321428573,201417.70992857142
84,25354.91410588235,205924.88834117647
85,25060.089523255814,209873.86959302326
86,24772.042517241378,214042.62544827585
87,24490.542034090908,218094.03492045455
88,24215.367404494384,222223.15406741574
89,23946.30776666667,227271.74808888888
90,23683.161527472526,232385.3935164835
91,23425.73585869565,237214.05229347825
92,23173.84622580645,241799.27904301076
93,22927.31594680851,246042.41512765957
94,22685.97577894737,251059.57922105264
95,22449.66353125,255566.0395625
96,22218.22370103093,259928.22673195877
97,21991.50713265306,264191.271377551
98,21769.370696969698,269408.78778787877
99,21551.67699,274582.16571000003
100,21338.29404950495,279118.5048316832
101,21129.095088235295,284173.9109509804
102,20923.958242718447,288830.26575728157
103,20722.76633653846,293993.382
104,20525.406657142856,298448.7748952381
105,20331.77074528302,303263.58411320753
106,20141.75419626168,307960.5331775701
107,19955.256472222223,312977.97116666666
108,19772.180724770642,317848.4484954128
109,19592.433627272727,322539.52885454544
110,19415.925216216216,326875.99045045045
111,19242.568741071427,331554.73482142854
112,19072.280522123892,336345.496460177
113,18904.979815789473,341271.575622807
114,18740.588686956522,346416.49004347826
115,18579.031887931036,351308.96981896553
116,18420.236743589743,356160.7227094017
117,18264.133042372883,361142.1639322034
118,18110.652932773108,365468.62484033615
119,17959.730825,370323.0520083333
120,17811.303297520662,375361.86752066115
121,17665.30900819672,380236.17918032786
122,17521.688609756096,385218.3635853659
